biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418352,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418354,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418355,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418357,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418358,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418361,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418362,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418363,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418365,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418367,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418368,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418369,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418370,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418371,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418372,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418373,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418374,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418375,unknown
